ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Has Open Issues
ckou2irx800053b696fgv5m2y,ckou2fn5a2x8l0yw4831m12r5,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fc78d1b36-9940-e2a7-27d7-329a64cca4a3-img0019-34.7267.png?Expires=1622554004311&KeyName=labelbox-assets-key-3&Signature=B6DjgLpmxBwfC9KPNe2wzq87DcM,"{""objects"":[{""featureId"":""ckou2i46n00013b69a08iqw9h"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":80,""left"":46,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2i46n00013b69a08iqw9h?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2iplb00043b69kn1kekdz"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2iplb00033b69qmm1feh6"",""schemaId"":""ckou2hus39u0m0yas8y8ocgc7"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1562533,1621344278000,1621344279000,31.866999999999997,img0019-34.7267.png,-1,-1,,,1,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2irx800053b696fgv5m2y,0
ckou2ixsi00093b695tlsi7hz,ckou2fn5a2x8p0yw43dyqbss9,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Ffa4a5089-9161-1776-fd01-d58c61b2e291-img0002-34.6409.png?Expires=1622554004318&KeyName=labelbox-assets-key-3&Signature=pkvI4FjyYPvpH5Fy1jM3dARTd6c,"{""objects"":[{""featureId"":""ckou2it7m00063b69ps8acdsa"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":55,""left"":55,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2it7m00063b69ps8acdsa?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2iwrj00083b698egowdih"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2iwrj00073b695oro99bs"",""schemaId"":""ckou2hus39u0o0yas063f23he"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1562533,1621344286000,1621344287000,7.313000000000001,img0002-34.6409.png,-1,-1,,,1,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2ixsi00093b695tlsi7hz,0
ckou2jbob000d3b69g8xnwh76,ckou2ftpy5fox0zw03a938nxo,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Feabdf6f0-81e2-6dca-fd85-137556256c18-img0003-42.6409.png?Expires=1622554004319&KeyName=labelbox-assets-key-3&Signature=_IWzgs_INi0lDiVtq4R5WwwpFgM,"{""objects"":[{""featureId"":""ckou2iyzq000a3b69gdivu2z4"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":58,""left"":55,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2iyzq000a3b69gdivu2z4?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2jasu000c3b69f0cq4smx"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2jasu000b3b69ko3inq0d"",""schemaId"":""ckou2hus39u0o0yas063f23he"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1562533,1621344304000,1621344305000,19.509,img0003-42.6409.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2jbob000d3b69g8xnwh76,0
ckou2jjhl000h3b69sulekqzd,ckou2ftpx5fot0zw05x1nao8r,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F0f497354-ea47-c461-9d7f-7c8fc567f76c-img0019-42.7767.png?Expires=1622554004319&KeyName=labelbox-assets-key-3&Signature=eAnD0NBRKce1IqeizXGBjpW9b6Y,"{""objects"":[{""featureId"":""ckou2jd1b000e3b697s14g7da"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":81,""left"":46,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2jd1b000e3b697s14g7da?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2jhxq000g3b69djaxpuey"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2jhxq000f3b69rtqy8l5q"",""schemaId"":""ckou2hus39u0m0yas8y8ocgc7"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1562533,1621344314000,1621344315000,9.466000000000001,img0019-42.7767.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2jjhl000h3b69sulekqzd,0
ckou2jr96000l3b69u0cjg7j0,ckou2g0sz2x8x0yw441off7tp,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F6238ce89-94ab-1b50-161a-b24410192a44-img0019-50.8267.png?Expires=1622554004320&KeyName=labelbox-assets-key-3&Signature=m0wfxi89wIy_jN9ppKNAiSmbqsE,"{""objects"":[{""featureId"":""ckou2jkn7000i3b696xqbevsp"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":78,""left"":47,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2jkn7000i3b696xqbevsp?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2jq93000k3b69kvqyeftz"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2jq93000j3b699ciqlw1c"",""schemaId"":""ckou2hus39u0m0yas8y8ocgc7"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1562533,1621344324000,1621344325000,7.984,img0019-50.8267.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2jr96000l3b69u0cjg7j0,0
ckou2jxx0000p3b69cb5ajx4n,ckou2g0sz2x910yw43euq01hr,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F4c49c1aa-aa7a-07e7-c894-defd314cc0c8-img0004-50.6409.png?Expires=1622554004320&KeyName=labelbox-assets-key-3&Signature=1-uCd3KVCKXne3OIoGEgQldLkuw,"{""objects"":[{""featureId"":""ckou2jse5000m3b698smwz9cc"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":55,""left"":53,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2jse5000m3b698smwz9cc?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2jx6e000o3b69ltgink5x"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2jx6e000n3b699cbb2nyg"",""schemaId"":""ckou2hus39u0o0yas063f23he"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1562533,1621344333000,1621344334000,7.377,img0004-50.6409.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2jxx0000p3b69cb5ajx4n,0
ckou2k490000u3b690yn52253,ckou2g97u2x970yw4ev7750z9,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F18a22c6c-64a4-73c4-83bf-a758004c0359-img0019-58.8767.png?Expires=1622554004320&KeyName=labelbox-assets-key-3&Signature=W9Wir9oqVoyzSlyvbpSpfYQJ9dM,"{""objects"":[{""featureId"":""ckou2jz5s000q3b69ppbicbyt"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":79,""left"":46,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2jz5s000q3b69ppbicbyt?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2k1ye000s3b69kohzsp2a"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2k392000t3b69krsxgb3x"",""schemaId"":""ckou2hus39u0m0yas8y8ocgc7"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1562533,1621344343000,1621344344000,7.7010000000000005,img0019-58.8767.png,-1,-1,,,4,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2k490000u3b690yn52253,0
ckou2kckr000y3b69fm0f66un,ckou2g97u2x9b0yw4ene70aez,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Ff8b04952-46a2-62f8-c389-0ed65aa5136b-img0005-58.6409.png?Expires=1622554004321&KeyName=labelbox-assets-key-3&Signature=SVng7s8LzGHZO3KsMG-CZEHEMFY,"{""objects"":[{""featureId"":""ckou2k7cd000v3b69fh82na92"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":50,""left"":53,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2k7cd000v3b69fh82na92?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2kbr2000x3b69wan1yrwz"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2kbr2000w3b69125futnb"",""schemaId"":""ckou2hus39u0o0yas063f23he"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1562533,1621344352000,1621344352000,9.483,img0005-58.6409.png,-1,-1,,,4,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2kckr000y3b69fm0f66un,0
ckou2kgib00123b69za81rdrl,ckou2gf185fp80zw06n9v4q2w,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fc0142a98-d45f-efac-bd03-b957b58318b1-img0006-66.6409.png?Expires=1622554004321&KeyName=labelbox-assets-key-3&Signature=UcHbSDZsYaiyPCheXOpZ--p-Gus,"{""objects"":[{""featureId"":""ckou2kdp4000z3b69n05z12uy"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":55,""left"":51,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2kdp4000z3b69n05z12uy?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2kflq00113b69z66zmua7"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2kflq00103b690wbip92t"",""schemaId"":""ckou2hus39u0o0yas063f23he"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1562533,1621344357000,1621344358000,0.478,img0006-66.6409.png,-1,-1,,,5,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2kgib00123b69za81rdrl,0
ckou2kl8100163b69kehsekh5,ckou2gf185fp40zw0ev5eevrc,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F6c2a722d-ae22-f478-9a60-8457568036f1-img0019-66.9267.png?Expires=1622554004322&KeyName=labelbox-assets-key-3&Signature=IGSsG3a9IEX5gbXQevl7chceXiM,"{""objects"":[{""featureId"":""ckou2kho900133b69bf14ddr3"",""schemaId"":""ckou2hure9u0k0yas1cxwhzo1"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":80,""left"":45,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckou2kho900133b69bf14ddr3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjIxMzQ0NDA0LCJleHAiOjE2MjM5MzY0MDR9.ACPEmuC6l3FfJLQ_hwlK__ur33n6y2uAb4onObPD9W4""}],""classifications"":[{""featureId"":""ckou2kk3a00153b69unyqkzch"",""schemaId"":""ckou2hurd9u0i0yase1zmftcv"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckou2kk3a00143b69jldbvemw"",""schemaId"":""ckou2hus39u0m0yas8y8ocgc7"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1562533,1621344363000,1621344364000,9.382,img0019-66.9267.png,-1,-1,,,5,[],https://editor.labelbox.com?project=ckou2fdjzd8rh0736owizhhxh&label=ckou2kl8100163b69kehsekh5,0
