ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Has Open Issues
ckmt8xpdw00053968cze9r3j8,ckmt8uio1c2120rgq0dhb8iq5,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fc7259f0b-80bc-f70c-8301-7f2d628edf68-img0012--105.232.png?Expires=1618150961052&KeyName=labelbox-assets-key-1&Signature=9kmGigVly9wA_LkhO8YGT9XOzsA,"{""objects"":[{""featureId"":""ckmt8x5gg00013968uad8pkg3"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":39,""left"":78,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8x5gg00013968uad8pkg3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8xmrt0004396829budkuu"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8xmrt000339689ykpfgak"",""schemaId"":""ckmt8wtam0em50y7o5hno8k2y"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,1544127,1616941023000,1616941072417,30.676000000000002,img0012--105.232.png,,-1,,,1,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8xpdw00053968cze9r3j8,0
ckmt8y1x800093968t668y5dc,ckmt8uio1c2160rgqcidz9zoe,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F77dfc965-a963-513c-b9ce-d7366151a6b4-img0019--107.13.png?Expires=1618150961057&KeyName=labelbox-assets-key-1&Signature=6T0i8-eyjaaBFWTeOUJOO6Gw_VM,"{""objects"":[{""featureId"":""ckmt8xu0p000639687e76wt66"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":75,""left"":40,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8xu0p000639687e76wt66?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8xzxs00083968z9d0iwsu"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8xzxs00073968qe02wjdh"",""schemaId"":""ckmt8wtam0em50y7o5hno8k2y"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,1544127,1616941039000,1616941073000,19.317999999999998,img0019--107.13.png,-1,-1,,,1,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8y1x800093968t668y5dc,0
ckmt8y9je000d3968sck9hwej,ckmt8ursec21e0rgq69jq98hh,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F823f0928-8b5e-f463-3d29-277dc7d522ba-img0019--99.3596.png?Expires=1618150961058&KeyName=labelbox-assets-key-1&Signature=e2fWF72nzVOxn6nNazzvcwfefTU,"{""objects"":[{""featureId"":""ckmt8y4n6000a39681xrfhnkn"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":72,""left"":40,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8y4n6000a39681xrfhnkn?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8y8nr000c3968595c4668"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8y8nr000b3968h2cdy8g0"",""schemaId"":""ckmt8wtam0em50y7o5hno8k2y"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,1544127,1616941049000,1616941073000,8.358,img0019--99.3596.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8y9je000d3968sck9hwej,0
ckmt8ygez000h396802n2m6o8,ckmt8ursec21a0rgq624766d4,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fd4e2a85f-ac2f-e67c-10eb-cb7fe38f4a2c-img0011--97.2319.png?Expires=1618150961058&KeyName=labelbox-assets-key-1&Signature=THWvQyWYiXVOwVGkx18nxM4lK8c,"{""objects"":[{""featureId"":""ckmt8yb9w000e3968d4ibgowt"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":41,""left"":81,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8yb9w000e3968d4ibgowt?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8yfmo000g39684v2rf1ib"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8yfmo000f3968xp0q0t2z"",""schemaId"":""ckmt8wtan0em70y7oakjncqfn"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,1544127,1616941058000,1616941073000,8.129000000000001,img0011--97.2319.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8ygez000h396802n2m6o8,0
ckmt8yr2c000l3968qju6rp6e,ckmt8v0e8c21i0rgq6g6a6j1w,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F2a01b0a3-6a33-672e-a3d4-0e8c0415cca6-img0010--89.2319.png?Expires=1618150961059&KeyName=labelbox-assets-key-1&Signature=fjmhaMyOblIOSvgZ7MBYjJQObLU,"{""objects"":[{""featureId"":""ckmt8ymk0000i3968lexltqfy"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":39,""left"":80,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8ymk0000i3968lexltqfy?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8ypzt000k39681tow50b6"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8ypzt000j3968460k1mwz"",""schemaId"":""ckmt8wtan0em70y7oakjncqfn"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,1544127,1616941071000,1616941231000,13.41,img0010--89.2319.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8yr2c000l3968qju6rp6e,0
ckmt8yxz8000p39681nt57fo0,ckmt8v0e8c21m0rgq49fv2wyb,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F2ebf98d1-b792-4c00-5854-188ead68365a-img0019--91.5896.png?Expires=1618150961059&KeyName=labelbox-assets-key-1&Signature=BQcVBwMfpaPap_loFTH5i8E5Cos,"{""objects"":[{""featureId"":""ckmt8ysnw000m3968big56zd4"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":74,""left"":39,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8ysnw000m3968big56zd4?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8yx6o000o3968cbwmfgzu"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8yx6o000n3968x9csv027"",""schemaId"":""ckmt8wtam0em50y7o5hno8k2y"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,1544127,1616941080000,1616941231000,9.534,img0019--91.5896.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8yxz8000p39681nt57fo0,0
ckmt8z5s5000t39681ie9f2y8,ckmt8va3k82fp0rbodvnxdwzf,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F8c2c8314-25dc-fcc4-bf11-75956f87ae24-img0009--81.2319.png?Expires=1618150961060&KeyName=labelbox-assets-key-1&Signature=igmJARizuMk2Y-WDxAWtbkSLl9I,"{""objects"":[{""featureId"":""ckmt8yzv3000q3968pvus6kt4"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":38,""left"":81,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8yzv3000q3968pvus6kt4?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8z4ap000s3968527i4r8o"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8z4ap000r3968402evovh"",""schemaId"":""ckmt8wtan0em70y7oakjncqfn"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,1544127,1616941091000,1616941231000,8.266,img0009--81.2319.png,-1,-1,,,4,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8z5s5000t39681ie9f2y8,0
ckmt8zcks000x396887vz4g0o,ckmt8va3l82ft0rbo3wua5sx5,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Ff6df5788-8c98-7905-6690-bfd7ec2db861-img0019--83.8196.png?Expires=1618150961060&KeyName=labelbox-assets-key-1&Signature=5wWYzKAQLI56DSRGMxc6koaA3ao,"{""objects"":[{""featureId"":""ckmt8z77l000u3968iosjlvgw"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":71,""left"":39,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8z77l000u3968iosjlvgw?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8zbsw000w3968kj1scd37"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8zbsw000v39687wnjyd8s"",""schemaId"":""ckmt8wtam0em50y7o5hno8k2y"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,1544127,1616941099000,1616941231122,6.588,img0019--83.8196.png,,-1,,,4,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8zcks000x396887vz4g0o,0
ckmt8zpt000113968n6yvkpnc,ckmt8vk62c21u0rgq5gkkbmiy,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F90d578aa-1cb7-e830-1137-e8a449a324d9-img0019--76.0496.png?Expires=1618150961060&KeyName=labelbox-assets-key-1&Signature=mOoUgmMi4t7JoKgXK0-Yy3Vt4No,"{""objects"":[{""featureId"":""ckmt8zlcz000y3968xqcp8kkx"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":71,""left"":40,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8zlcz000y3968xqcp8kkx?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8zp2g001039688e23q99w"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8zp2g000z3968f1za2svo"",""schemaId"":""ckmt8wtam0em50y7o5hno8k2y"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,1544127,1616941117000,1616941231324,17.224999999999998,img0019--76.0496.png,,-1,,,5,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8zpt000113968n6yvkpnc,0
ckmt8zw2700153968fcjygr78,ckmt8vk62c21q0rgq1cx2c5kt,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F67e0e56f-d6b5-d888-de6c-1655e37ace09-img0008--73.2319.png?Expires=1618150961061&KeyName=labelbox-assets-key-1&Signature=zwd_YlS7m4mgb7rF07FzB5zHt0I,"{""objects"":[{""featureId"":""ckmt8zsi0001239687jnv0ha9"",""schemaId"":""ckmt8wta00em30y7ohj9ygnu3"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":42,""left"":80,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmt8zsi0001239687jnv0ha9?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2OTQxMzYxLCJleHAiOjE2MTk1MzMzNjF9.CjuPQk5TWosb4YPzbgRTCiabXJy1vDUK1xbjz8tChTc""}],""classifications"":[{""featureId"":""ckmt8zv8900143968ll5qa24j"",""schemaId"":""ckmt8wt9z0em10y7ogl7kblb9"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmt8zv8900133968r286y9rc"",""schemaId"":""ckmt8wtan0em70y7oakjncqfn"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,1544127,1616941125000,1616941231430,8.719999999999999,img0008--73.2319.png,,-1,,,5,[],https://editor.labelbox.com?project=ckmt8tw4l8mae0795axr8zeti&label=ckmt8zw2700153968fcjygr78,0
