ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Has Open Issues
ckmuljche00053a691f46f35l,ckmulgb14e8hq0rgqgnel6rof,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fc25ace7b-c72b-0f09-794f-17d2f50f7f7a-img0018-57.4283.png?Expires=1618232346051&KeyName=labelbox-assets-key-1&Signature=MMklWJPVUdXZTQLCrl9dGhLATqM,"{""objects"":[{""featureId"":""ckmuliqzj00033a695w1egqiw"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":61,""left"":44,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmuliqzj00033a695w1egqiw?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmuliqdo00013a692mrkgcqm"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmuliqdo00003a695buumon4"",""schemaId"":""ckmuli2xb4f9m0y831uc63nsa"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1417818,1617022653000,1617022701000,32.311,img0018-57.4283.png,-1,-1,,,1,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmuljche00053a691f46f35l,0
ckmuljina00093a69vg8rkbdw,ckmulgb14e8hu0rgqdaak3bq9,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F69b49bc0-bd0d-0f57-6278-34e8e925b353-img0007-61.4179.png?Expires=1618232346054&KeyName=labelbox-assets-key-1&Signature=-bsucxw5uHbot_ddjndi7KEml7g,"{""objects"":[{""featureId"":""ckmulje9300063a69anhhpg9r"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":33,""left"":63,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmulje9300063a69anhhpg9r?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmuljhp200083a69w4idtevx"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmuljhp200073a699b135724"",""schemaId"":""ckmuli2xb4f9o0y8316wu83vc"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1417818,1617022665000,1617022701046,5.53,img0007-61.4179.png,,-1,,,1,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmuljina00093a69vg8rkbdw,0
ckmuljr00000d3a69r4lw2kq8,ckmulgjoie8i20rgq3ynd142b,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F17b3014c-1ad9-79fe-8c53-40f10dac8dc1-img0008-69.1779.png?Expires=1618232346055&KeyName=labelbox-assets-key-1&Signature=fkTjBVXNKXGjzbiPqCUX_-8Wyxg,"{""objects"":[{""featureId"":""ckmuljnrp000a3a69fw8bd0nh"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":31,""left"":65,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmuljnrp000a3a69fw8bd0nh?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmuljq9q000c3a69e58n8ynk"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmuljq9q000b3a69kg62q7yv"",""schemaId"":""ckmuli2xb4f9o0y8316wu83vc"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1417818,1617022672000,1617022701489,5.799,img0008-69.1779.png,,-1,,,2,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmuljr00000d3a69r4lw2kq8,0
ckmuljvwd000h3a69eyxq2sg8,ckmulgjohe8hy0rgq4thvhfek,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fa4182d99-f7ed-0a08-51c0-af13ed07c58d-img0018-65.8283.png?Expires=1618232346055&KeyName=labelbox-assets-key-1&Signature=ja0rt1ytFBks--EfROTusZW0d6Y,"{""objects"":[{""featureId"":""ckmuljrzn000e3a694jsoekmb"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":58,""left"":44,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmuljrzn000e3a694jsoekmb?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmuljv1f000g3a690717xr5v"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmuljv1f000f3a69dqsm98us"",""schemaId"":""ckmuli2xb4f9m0y831uc63nsa"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1417818,1617022678000,1617022702000,10.001999999999999,img0018-65.8283.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmuljvwd000h3a69eyxq2sg8,0
ckmulk06l000l3a69ge96mar2,ckmulgrqeaxes0rbo3wllafz1,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fbcaaa434-2287-35f3-86be-3ccad117250c-img0018-74.2283.png?Expires=1618232346055&KeyName=labelbox-assets-key-1&Signature=QX3xkFq9KRD-JCVJoI5_6s-jZJo,"{""objects"":[{""featureId"":""ckmuljx5x000i3a699m4vsubo"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":56,""left"":43,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmuljx5x000i3a699m4vsubo?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmuljzg3000k3a690rhxf0z6"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmuljzg3000j3a69f1e59uf0"",""schemaId"":""ckmuli2xb4f9m0y831uc63nsa"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1417818,1617022684000,1617022702000,0.591,img0018-74.2283.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmulk06l000l3a69ge96mar2,0
ckmulk4xl000p3a69yuf16spc,ckmulgrqfaxew0rbo6yoy6lo0,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F81cf7b59-7f79-7905-9ec1-4ab514b6f937-img0009-76.9379.png?Expires=1618232346056&KeyName=labelbox-assets-key-1&Signature=uqE7FVkhaXeNiCiEAcBo4YsiEoc,"{""objects"":[{""featureId"":""ckmulk1ai000m3a69cb76q2v7"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":32,""left"":60,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmulk1ai000m3a69cb76q2v7?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmulk491000o3a69vti0lts0"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmulk491000n3a699cgaa8gm"",""schemaId"":""ckmuli2xb4f9o0y8316wu83vc"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1417818,1617022690000,1617022702000,9.152000000000001,img0009-76.9379.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmulk4xl000p3a69yuf16spc,0
ckmulk8lb000t3a69jrbm31et,ckmulgx54axf00rbob27adefv,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fe4ea1d9e-8ac4-7337-4639-220d575c03fa-img0018-82.6283.png?Expires=1618232346056&KeyName=labelbox-assets-key-1&Signature=0R6evUPmvgsYSGBWPh9BcNihJdQ,"{""objects"":[{""featureId"":""ckmulk60k000q3a69okn9g6im"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":58,""left"":41,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmulk60k000q3a69okn9g6im?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmulk7x8000s3a699onlcq3e"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmulk7x8000r3a69deo3ei1z"",""schemaId"":""ckmuli2xb4f9m0y831uc63nsa"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1417818,1617022694000,1617022702354,0.178,img0018-82.6283.png,,-1,,,4,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmulk8lb000t3a69jrbm31et,0
ckmulkd2k000x3a69c9rh3alv,ckmulgx55axf40rbo9r4y6q9c,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F7f0518e9-3b8a-26ce-2c4d-48e07a639f2e-img0010-84.6979.png?Expires=1618232346057&KeyName=labelbox-assets-key-1&Signature=1deAJLZb9MVBkCLPQRuwHLT7xlY,"{""objects"":[{""featureId"":""ckmulk9lw000u3a69pwkc7r52"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":37,""left"":58,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmulk9lw000u3a69pwkc7r52?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmulkbye000w3a69umjvwzkl"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmulkbye000v3a698hd0kqcj"",""schemaId"":""ckmuli2xb4f9o0y8316wu83vc"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1417818,1617022700000,1617022701000,5.515,img0010-84.6979.png,-1,-1,,,4,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmulkd2k000x3a69c9rh3alv,0
ckmulkhyp00113a69ek10a4n7,ckmulh5nzaxfc0rbob0ba7kgq,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F3b51bbc7-d618-15ef-503d-a40d9dccf4b2-img0011-92.4579.png?Expires=1618232346057&KeyName=labelbox-assets-key-1&Signature=tqlLsnyozrYCK6fCYCfvL0NQS14,"{""objects"":[{""featureId"":""ckmulkecp000y3a69mj9wfrha"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":35,""left"":59,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmulkecp000y3a69mj9wfrha?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmulkh3g00103a697hm3ztdu"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmulkh3g000z3a69zz5dgeid"",""schemaId"":""ckmuli2xb4f9o0y8316wu83vc"",""title"":""LGE"",""value"":""lge""}}]}",armin2saadat@gmail.com,1417818,1617022707000,1617022707000,5.752,img0011-92.4579.png,-1,-1,,,5,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmulkhyp00113a69ek10a4n7,0
ckmulkqq000153a691p6zokk5,ckmulh5nzaxf80rbohi66369x,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fdaa799be-f008-a381-d0bb-6b066413a284-img0018-91.0283.png?Expires=1618232346057&KeyName=labelbox-assets-key-1&Signature=4ymPg6YeyRxiKTvegQ4qUXK-PIQ,"{""objects"":[{""featureId"":""ckmulkj3t00123a69y728354v"",""schemaId"":""ckmuli2w14f9k0y833w3ic9uw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":71,""left"":54,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmulkj3t00123a69y728354v?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2psYXQ4aWc4bWw2MDcyMjQ2YTE4YnQwIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE3MDIyNzQ2LCJleHAiOjE2MTk2MTQ3NDZ9.8abvSPZ6-6iArhCzuAHU7vAMxjaOKJuKpILDm6_Gsh4""}],""classifications"":[{""featureId"":""ckmulkl4s00143a69mwv99knk"",""schemaId"":""ckmuli2w04f9i0y833jxld4xu"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmulkl4s00133a69tm8lrb47"",""schemaId"":""ckmuli2xb4f9m0y831uc63nsa"",""title"":""Cine"",""value"":""cine""}}]}",armin2saadat@gmail.com,1417818,1617022718000,1617022718000,10.638,img0018-91.0283.png,-1,-1,,,5,[],https://editor.labelbox.com?project=ckmulfyz6q59u0747wjq6zfm6&label=ckmulkqq000153a691p6zokk5,0
