ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Has Open Issues
ckmarslcc0003256dzj1urdxf,ckmarnglo5ghc0rer46q33ixp,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F75db1858-b502-6b83-6790-d67ff431f996-img0007-51.1166.png?Expires=1618066537290&KeyName=labelbox-assets-key-1&Signature=5icvNnTIwoxSHrPznYJdQJiNHJA,"{""objects"":[{""featureId"":""ckmp31p5g000c256dokatsi8h"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":57,""left"":47,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp31p5g000c256dokatsi8h?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd70zfv000r256d0ymb0za7"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd70zfv000q256deu9msr5y"",""schemaId"":""ckmd6xbj500zm0y820yavdqlc"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,423841,1615823844000,1616689323205,67.666,img0007-51.1166.png,,-1,,,1,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarslcc0003256dzj1urdxf,0
ckmart1wf0005256drajwoedy,ckmarnglp5ghg0rer439f0925,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Fdd0fca3b-1752-50eb-2938-efd613e8bd0c-img0015-48.6138.png?Expires=1618066537300&KeyName=labelbox-assets-key-1&Signature=jRPWP42feFYV3dXMO8yzm9g2-7Y,"{""objects"":[{""featureId"":""ckmp318vk000b256dmfj8jk5q"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":67,""left"":51,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp318vk000b256dmfj8jk5q?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd70rbu000p256d6z9euf3f"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd70rbu000o256dbihj8usa"",""schemaId"":""ckmd6xbj500zo0y821bksam44"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,423841,1615823866000,1616689321441,42.844,img0015-48.6138.png,,-1,,,1,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmart1wf0005256drajwoedy,0
ckmartsu1000a256dtwp4tipb,ckmaro12u61ps0rgucgzu8j4u,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2Ff501a5c4-7789-d000-b0a3-5102e663e6df-img0015-57.0138.png?Expires=1618066537302&KeyName=labelbox-assets-key-1&Signature=zlAx63VmvVcsmeg66nEu1kvOQnU,"{""objects"":[{""featureId"":""ckmp310ze000a256dp63hnv38"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":65,""left"":50,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp310ze000a256dp63hnv38?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd70e93000n256dd64ntkiz"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd70e93000m256ds8kt8m7c"",""schemaId"":""ckmd6xbj500zo0y821bksam44"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,423841,1615823901000,1616689321000,53.542,img0015-57.0138.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmartsu1000a256dtwp4tipb,0
ckmaruhke000f256dut5agi7q,ckmaro12u61po0rgucux2he1s,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F03b18f52-7903-3a00-8697-d931affa1627-img0008-59.1166.png?Expires=1618066537303&KeyName=labelbox-assets-key-1&Signature=co4Wi4rh9Uxp6KQn1J4Dn6aLTYQ,"{""objects"":[{""featureId"":""ckmp30t640009256dg756nmnt"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":58,""left"":46,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp30t640009256dg756nmnt?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd705eg000l256ddyda0z0v"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd705eg000k256dvgvmu07i"",""schemaId"":""ckmd6xbj500zm0y820yavdqlc"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,423841,1615823933000,1616689320000,107.579,img0008-59.1166.png,-1,-1,,,2,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmaruhke000f256dut5agi7q,0
ckmarusoc000h256dwrojhh38,ckmarog4x5ghk0rerb59kcsay,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F882addbf-d00d-dac1-d725-1783054d7d1e-img0009-67.1166.png?Expires=1618066537304&KeyName=labelbox-assets-key-1&Signature=Iimk69H2y8wH6UOSLEPUw36hPjY,"{""objects"":[{""featureId"":""ckmp30m2f0008256d0hqo61ba"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":53,""left"":45,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp30m2f0008256d0hqo61ba?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd6zyzb000j256drsr8kj0h"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd6zyzb000i256d7wq6mgcd"",""schemaId"":""ckmd6xbj500zm0y820yavdqlc"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,423841,1615823947000,1616689319000,25.389,img0009-67.1166.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarusoc000h256dwrojhh38,0
ckmarv1n0000j256dycbs1dh8,ckmarog4x5gho0rerb63nakj1,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F0ad75bda-8889-d393-dcd2-be8a639ab9cc-img0015-65.4138.png?Expires=1618066537304&KeyName=labelbox-assets-key-1&Signature=Mf1CZfx0REwmmTLQoYaJ-sxQyzg,"{""objects"":[{""featureId"":""ckmp30du00007256dcmbmm1po"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":67,""left"":50,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp30du00007256dcmbmm1po?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd6zu1r000h256dyu4hrhux"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd6zu1r000g256dfb8k2v9z"",""schemaId"":""ckmd6xbj500zo0y821bksam44"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,423841,1615823959000,1616689318000,25.399,img0015-65.4138.png,-1,-1,,,3,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarv1n0000j256dycbs1dh8,0
ckmarv83u000l256dmvpamtq7,ckmaroqiq5gi00rer6mmmew0c,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F6ab08718-25a0-33f2-3959-f5f7e5171e11-img0010-75.1166.png?Expires=1618066537305&KeyName=labelbox-assets-key-1&Signature=EGrUJRRnVx47aWIQi0_WibFkHXY,"{""objects"":[{""featureId"":""ckmp304v50006256d1ovnigdu"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":58,""left"":45,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp304v50006256d1ovnigdu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd6zk8n000f256drl16jowg"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd6zk8n000e256dil5hoane"",""schemaId"":""ckmd6xbj500zm0y820yavdqlc"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,423841,1615823967000,1616689317000,27.258000000000003,img0010-75.1166.png,-1,-1,,,4,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarv83u000l256dmvpamtq7,0
ckmarvff3000n256dmj99n2mt,ckmaroqiq5gi40rer4ibk8ix9,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F09efd009-39f8-1da1-3059-6155e776d634-img0015-73.8138.png?Expires=1618066537306&KeyName=labelbox-assets-key-1&Signature=OMP-AT4DRoUx1Y2iCe3972ShFZU,"{""objects"":[{""featureId"":""ckmp2znep0005256dwkuonjrz"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":67,""left"":49,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp2znep0005256dwkuonjrz?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd6zds8000d256ducjjfexp"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd6zds8000c256dpcljg9o3"",""schemaId"":""ckmd6xbj500zo0y821bksam44"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,423841,1615823977000,1616689198091,35.323,img0015-73.8138.png,,-1,,,4,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarvff3000n256dmj99n2mt,0
ckmarvvzj000p256ds0676z1i,ckmarp24u61q00rgu2fmzbk2g,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F82e9744a-de65-bb0a-496a-68e19378d7db-img0015-82.2138.png?Expires=1618066537307&KeyName=labelbox-assets-key-1&Signature=TgeXOvJRPcRHIiiWRZt-S9pm-ko,"{""objects"":[{""featureId"":""ckmp2zbsx0004256d2dnebsn9"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":69,""left"":48,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp2zbsx0004256d2dnebsn9?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd6z63l000b256dgn6iir37"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd6z63l000a256du4lnud6z"",""schemaId"":""ckmd6xbj500zo0y821bksam44"",""title"":""Cine"",""value"":""cine""}}]}",elahe.badali@gmail.com,423841,1615823998000,1616689197000,72.78,img0015-82.2138.png,-1,-1,,,5,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarvvzj000p256ds0676z1i,0
ckmarw3g9000r256dfy55hth9,ckmarp24t61pw0rgu76vf2yby,https://storage.labelbox.com/ckjjs3f4ubo4w0754q9y668gb%2F6fa7c45b-911b-057c-a9f1-6342438685c8-img0011-83.1166.png?Expires=1618066537307&KeyName=labelbox-assets-key-1&Signature=sHysbZW90fDHX_wTM7r99fF7sWA,"{""objects"":[{""featureId"":""ckmp2z2tk0003256d61y2eez9"",""schemaId"":""ckmarqce80rz70yaye0emgrhw"",""title"":""bb"",""value"":""bb"",""color"":""#1CE6FF"",""bbox"":{""top"":59,""left"":43,""height"":64,""width"":64},""instanceURI"":""https://api.labelbox.com/masks/feature/ckmp2z2tk0003256d61y2eez9?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2pqczNmNTl2cGNkMDcyMnNrOXZ3YmJuIiwib3JnYW5pemF0aW9uSWQiOiJja2pqczNmNHVibzR3MDc1NHE5eTY2OGdiIiwiaWF0IjoxNjE2ODU2OTM3LCJleHAiOjE2MTk0NDg5Mzd9.Mz2X0wjvj4uXdi1bMIleRU0ZXkT_qQeQyqzupn2u-OU""}],""classifications"":[{""featureId"":""ckmd6yxxr0009256dwuepdkqn"",""schemaId"":""ckmd6xbid00zj0y821uoygrh7"",""title"":""class"",""value"":""class"",""answer"":{""featureId"":""ckmd6yxxr0008256dxdhjge67"",""schemaId"":""ckmd6xbj500zm0y820yavdqlc"",""title"":""LGE"",""value"":""lge""}}]}",elahe.badali@gmail.com,423841,1615824008000,1616689196000,28.593,img0011-83.1166.png,-1,-1,,,5,[],https://editor.labelbox.com?project=ckmarkrv0147m0789oq8kisk1&label=ckmarw3g9000r256dfy55hth9,0
